date,쿠팡,11번가
2015-08-09,34,19
2015-08-16,41,20
2015-08-23,36,19
2015-08-30,35,19
2015-09-06,36,22
2015-09-13,36,22
2015-09-20,30,19
2015-09-27,35,21
2015-10-04,34,19
2015-10-11,34,21
2015-10-18,32,18
2015-10-25,34,22
2015-11-01,39,22
2015-11-08,32,23
2015-11-15,29,23
2015-11-22,35,22
2015-11-29,36,25
2015-12-06,36,23
2015-12-13,37,25
2015-12-20,39,19
2015-12-27,33,20
2016-01-03,34,19
2016-01-10,31,21
2016-01-17,33,18
2016-01-24,33,18
2016-01-31,28,18
2016-02-07,31,16
2016-02-14,32,19
2016-02-21,32,17
2016-02-28,35,18
2016-03-06,30,19
2016-03-13,28,17
2016-03-20,29,17
2016-03-27,29,18
2016-04-03,27,17
2016-04-10,28,18
2016-04-17,28,18
2016-04-24,29,18
2016-05-01,28,18
2016-05-08,28,20
2016-05-15,30,19
2016-05-22,30,17
2016-05-29,31,17
2016-06-05,28,19
2016-06-12,29,19
2016-06-19,30,17
2016-06-26,30,17
2016-07-03,32,16
2016-07-10,30,16
2016-07-17,29,17
2016-07-24,33,18
2016-07-31,32,19
2016-08-07,29,19
2016-08-14,29,18
2016-08-21,31,18
2016-08-28,28,19
2016-09-04,29,18
2016-09-11,22,13
2016-09-18,30,21
2016-09-25,29,19
2016-10-02,28,18
2016-10-09,28,21
2016-10-16,28,19
2016-10-23,26,17
2016-10-30,29,23
2016-11-06,27,24
2016-11-13,26,18
2016-11-20,26,18
2016-11-27,26,20
2016-12-04,26,20
2016-12-11,25,18
2016-12-18,29,19
2016-12-25,24,19
2017-01-01,28,16
2017-01-08,29,17
2017-01-15,26,18
2017-01-22,21,14
2017-01-29,29,21
2017-02-05,26,19
2017-02-12,28,20
2017-02-19,27,20
2017-02-26,26,19
2017-03-05,27,20
2017-03-12,25,18
2017-03-19,25,17
2017-03-26,27,18
2017-04-02,25,15
2017-04-09,27,16
2017-04-16,27,17
2017-04-23,26,18
2017-04-30,24,15
2017-05-07,24,18
2017-05-14,26,17
2017-05-21,26,18
2017-05-28,25,20
2017-06-04,22,17
2017-06-11,24,17
2017-06-18,27,20
2017-06-25,27,18
2017-07-02,29,23
2017-07-09,26,21
2017-07-16,27,20
2017-07-23,27,21
2017-07-30,25,19
2017-08-06,25,20
2017-08-13,23,19
2017-08-20,27,17
2017-08-27,27,18
2017-09-03,26,20
2017-09-10,27,21
2017-09-17,27,21
2017-09-24,26,19
2017-10-01,19,11
2017-10-08,26,19
2017-10-15,24,19
2017-10-22,26,18
2017-10-29,28,24
2017-11-05,28,26
2017-11-12,29,24
2017-11-19,32,25
2017-11-26,31,23
2017-12-03,31,24
2017-12-10,33,24
2017-12-17,31,23
2017-12-24,33,22
2017-12-31,34,19
2018-01-07,35,22
2018-01-14,32,19
2018-01-21,32,20
2018-01-28,35,22
2018-02-04,36,21
2018-02-11,30,15
2018-02-18,35,20
2018-02-25,36,22
2018-03-04,39,21
2018-03-11,36,19
2018-03-18,33,20
2018-03-25,36,19
2018-04-01,35,17
2018-04-08,32,18
2018-04-15,38,16
2018-04-22,34,18
2018-04-29,33,16
2018-05-06,32,19
2018-05-13,31,16
2018-05-20,32,15
2018-05-27,35,19
2018-06-03,33,18
2018-06-10,31,16
2018-06-17,33,15
2018-06-24,35,16
2018-07-01,39,18
2018-07-08,37,18
2018-07-15,35,15
2018-07-22,37,16
2018-07-29,40,15
2018-08-05,33,15
2018-08-12,32,14
2018-08-19,30,13
2018-08-26,31,14
2018-09-02,35,16
2018-09-09,36,16
2018-09-16,32,15
2018-09-23,35,16
2018-09-30,38,17
2018-10-07,38,16
2018-10-14,41,14
2018-10-21,39,14
2018-10-28,43,19
2018-11-04,42,21
2018-11-11,40,18
2018-11-18,47,18
2018-11-25,53,16
2018-12-02,43,16
2018-12-09,43,18
2018-12-16,46,17
2018-12-23,42,15
2018-12-30,49,16
2019-01-06,50,17
2019-01-13,50,15
2019-01-20,47,15
2019-01-27,47,15
2019-02-03,47,16
2019-02-10,50,18
2019-02-17,48,15
2019-02-24,47,16
2019-03-03,51,16
2019-03-10,47,15
2019-03-17,46,17
2019-03-24,47,12
2019-03-31,46,15
2019-04-07,44,17
2019-04-14,47,13
2019-04-21,46,15
2019-04-28,49,14
2019-05-05,50,14
2019-05-12,50,13
2019-05-19,46,14
2019-05-26,49,13
2019-06-02,49,12
2019-06-09,46,14
2019-06-16,47,14
2019-06-23,51,14
2019-06-30,51,15
2019-07-07,51,17
2019-07-14,49,14
2019-07-21,55,14
2019-07-28,51,16
2019-08-04,54,17
2019-08-11,50,16
2019-08-18,52,16
2019-08-25,51,15
2019-09-01,56,15
2019-09-08,41,11
2019-09-15,55,16
2019-09-22,49,15
2019-09-29,50,14
2019-10-06,50,18
2019-10-13,53,16
2019-10-20,52,16
2019-10-27,54,18
2019-11-03,54,23
2019-11-10,56,23
2019-11-17,54,16
2019-11-24,51,15
2019-12-01,59,14
2019-12-08,59,16
2019-12-15,57,15
2019-12-22,55,14
2019-12-29,58,14
2020-01-05,60,15
2020-01-12,62,15
2020-01-19,51,12
2020-01-26,77,16
2020-02-02,80,19
2020-02-09,71,16
2020-02-16,84,15
2020-02-23,96,18
2020-03-01,100,21
2020-03-08,86,19
2020-03-15,81,17
2020-03-22,76,17
2020-03-29,79,17
2020-04-05,76,17
2020-04-12,73,15
2020-04-19,78,15
2020-04-26,87,17
2020-05-03,83,18
2020-05-10,78,18
2020-05-17,81,15
2020-05-24,85,16
2020-05-31,75,16
2020-06-07,78,17
2020-06-14,76,15
2020-06-21,75,15
2020-06-28,77,17
2020-07-05,77,17
2020-07-12,78,16
2020-07-19,79,16
2020-07-26,78,16
