date,쿠팡,11번가,쿠팡증감률,11번가증감률
2015-08-09,35,19,0,0
2015-08-16,40,20,5,1
2015-08-23,36,19,-4,-1
2015-08-30,37,20,1,1
2015-09-06,37,22,0,2
2015-09-13,36,22,-1,0
2015-09-20,29,20,-7,-2
2015-09-27,36,20,7,0
2015-10-04,34,18,-2,-2
2015-10-11,33,20,-1,2
2015-10-18,32,18,-1,-2
2015-10-25,36,22,4,4
2015-11-01,38,22,2,0
2015-11-08,33,23,-5,1
2015-11-15,29,22,-4,-1
2015-11-22,33,22,4,0
2015-11-29,36,26,3,4
2015-12-06,38,21,2,-5
2015-12-13,38,25,0,4
2015-12-20,38,19,0,-6
2015-12-27,34,20,-4,1
2016-01-03,35,18,1,-2
2016-01-10,32,22,-3,4
2016-01-17,32,18,0,-4
2016-01-24,32,18,0,0
2016-01-31,26,19,-6,1
2016-02-07,28,16,2,-3
2016-02-14,34,20,6,4
2016-02-21,30,18,-4,-2
2016-02-28,33,18,3,0
2016-03-06,29,18,-4,0
2016-03-13,29,18,0,0
2016-03-20,28,18,-1,0
2016-03-27,28,19,0,1
2016-04-03,26,17,-2,-2
2016-04-10,27,18,1,1
2016-04-17,29,18,2,0
2016-04-24,29,18,0,0
2016-05-01,28,19,-1,1
2016-05-08,28,20,0,1
2016-05-15,32,19,4,-1
2016-05-22,30,16,-2,-3
2016-05-29,30,17,0,1
2016-06-05,28,19,-2,2
2016-06-12,28,18,0,-1
2016-06-19,32,19,4,1
2016-06-26,30,17,-2,-2
2016-07-03,32,16,2,-1
2016-07-10,31,16,-1,0
2016-07-17,30,17,-1,1
2016-07-24,33,18,3,1
2016-07-31,32,18,-1,0
2016-08-07,31,19,-1,1
2016-08-14,29,17,-2,-2
2016-08-21,32,17,3,0
2016-08-28,28,17,-4,0
2016-09-04,31,18,3,1
2016-09-11,22,13,-9,-5
2016-09-18,31,21,9,8
2016-09-25,30,19,-1,-2
2016-10-02,29,17,-1,-2
2016-10-09,28,20,-1,3
2016-10-16,27,19,-1,-1
2016-10-23,26,16,-1,-3
2016-10-30,29,22,3,6
2016-11-06,28,22,-1,0
2016-11-13,27,18,-1,-4
2016-11-20,26,17,-1,-1
2016-11-27,27,20,1,3
2016-12-04,26,20,-1,0
2016-12-11,26,18,0,-2
2016-12-18,30,18,4,0
2016-12-25,24,19,-6,1
2017-01-01,30,16,6,-3
2017-01-08,30,17,0,1
2017-01-15,26,19,-4,2
2017-01-22,20,14,-6,-5
2017-01-29,28,21,8,7
2017-02-05,27,19,-1,-2
2017-02-12,28,20,1,1
2017-02-19,27,21,-1,1
2017-02-26,26,20,-1,-1
2017-03-05,27,20,1,0
2017-03-12,24,17,-3,-3
2017-03-19,24,18,0,1
2017-03-26,27,18,3,0
2017-04-02,25,15,-2,-3
2017-04-09,27,16,2,1
2017-04-16,27,17,0,1
2017-04-23,26,19,-1,2
2017-04-30,24,15,-2,-4
2017-05-07,24,18,0,3
2017-05-14,24,16,0,-2
2017-05-21,26,18,2,2
2017-05-28,25,21,-1,3
2017-06-04,21,17,-4,-4
2017-06-11,24,18,3,1
2017-06-18,28,21,4,3
2017-06-25,26,19,-2,-2
2017-07-02,27,22,1,3
2017-07-09,26,22,-1,0
2017-07-16,27,19,1,-3
2017-07-23,28,19,1,0
2017-07-30,26,21,-2,2
2017-08-06,24,21,-2,0
2017-08-13,22,18,-2,-3
2017-08-20,27,17,5,-1
2017-08-27,26,18,-1,1
2017-09-03,27,19,1,1
2017-09-10,27,21,0,2
2017-09-17,27,21,0,0
2017-09-24,27,19,0,-2
2017-10-01,18,11,-9,-8
2017-10-08,27,17,9,6
2017-10-15,23,18,-4,1
2017-10-22,26,18,3,0
2017-10-29,29,25,3,7
2017-11-05,28,26,-1,1
2017-11-12,30,25,2,-1
2017-11-19,32,24,2,-1
2017-11-26,30,22,-2,-2
2017-12-03,30,23,0,1
2017-12-10,34,23,4,0
2017-12-17,32,24,-2,1
2017-12-24,32,22,0,-2
2017-12-31,34,19,2,-3
2018-01-07,35,23,1,4
2018-01-14,32,20,-3,-3
2018-01-21,32,20,0,0
2018-01-28,33,21,1,1
2018-02-04,37,21,4,0
2018-02-11,29,14,-8,-7
2018-02-18,35,21,6,7
2018-02-25,36,21,1,0
2018-03-04,40,22,4,1
2018-03-11,37,19,-3,-3
2018-03-18,33,21,-4,2
